Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R23,0,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,92.300002,-139.0,0.0,bottom
R24,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,83.7,-63.2,90.0,bottom
R25,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,84.0,-70.5,90.0,bottom
R3,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,79.7,-60.0,0.0,bottom
R31,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.6,-131.5,90.0,bottom
R32,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,148.5,-131.5,90.0,bottom
R33,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,154.0,-131.5,90.0,bottom
R34,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,152.9,-131.5,90.0,bottom
R4,10M,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,93.3,-41.9,90.0,bottom
R5,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,92.000002,-137.6,0.0,bottom
R50,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,103.8,-43.3,180.0,bottom
R51,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,102.2,-49.2,90.0,bottom
R6,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,99.1,-34.5,90.0,bottom
R61,100,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,118.8,-154.5,180.0,bottom
R7,100k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,131.000002,-34.8,90.0,bottom
R8,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,100.3,-34.5,90.0,bottom
R9,470,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,129.7,-34.8,90.0,bottom
R90,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,110.300002,-74.3,270.0,bottom
R91,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,113.300002,-71.3,270.0,bottom
R92,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,116.300002,-68.3,270.0,bottom
R93,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,119.300002,-65.3,270.0,bottom
R94,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,122.300002,-62.3,270.0,bottom
R95,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,125.300002,-59.3,270.0,bottom
R96,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,128.300002,-56.3,270.0,bottom
R97,300,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,131.300002,-53.3,270.0,bottom
SW1,SW_MEC_5E,SOIC4_TL3301SPF160RGTAPE_EWI,106.000002,-139.0,0.0,top
SW2,SW_MEC_5E,SOIC4_TL3301SPF160RGTAPE_EWI,132.000002,-151.0,0.0,top
SW3,SW_MEC_5E,SOIC4_TL3301SPF160RGTAPE_EWI,94.000002,-127.0,0.0,top
SW4,SW_MEC_5E,SOIC4_TL3301SPF160RGTAPE_EWI,120.000002,-139.0,0.0,top
SW5,SW_MEC_5E,SOIC4_TL3301SPF160RGTAPE_EWI,132.000002,-139.0,0.0,top
SW6,SW_MEC_5E,SOIC4_TL3301SPF160RGTAPE_EWI,144.000002,-139.0,0.0,top
SW7,SW_MEC_5E,SOIC4_TL3301SPF160RGTAPE_EWI,120.000002,-127.0,0.0,top
SW8,SW_MEC_5E,SOIC4_TL3301SPF160RGTAPE_EWI,132.000002,-127.0,0.0,top
U1,TLV70328DBVR,SOT-23-5,82.0,-155.0,180.0,bottom
U2,QX2304L33F,SOT-23-5,91.600002,-141.5,180.0,bottom
U3,STM32F103CBT6,LQFP-48_7x7mm_P0.5mm,88.000002,-50.0,180.0,bottom
U4,74HC238,SOP-16_3.9x9.9mm_P1.27mm,144.5,-37.0,90.0,bottom
U5,LSM6DS3TR-C,QFN_S3TR-C_STM,102.375,-46.25,270.0,bottom
U6,IRM-H638T/TR2,IRM-H638T,113.500002,-155.0,90.0,top
U8,74HC238,SOP-16_3.9x9.9mm_P1.27mm,128.0,-41.5,180.0,bottom
Y1,TAXM8M4RFDCET2T,Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm,86.2,-41.2,270.0,bottom
